hotel_name,info_title,info_content,ido,keido,hotel_id,hotel_url
ヴィラフォンテーヌ東京茅場町｜住友不動産,都心各所へのアクセス抜群、カップルに人気の12時チェックアウト,都心の各観光地へのアクセスが良好な宿で、舞浜や東京駅、銀座、浅草、スカイツリー、新宿、羽田空港への移動が容易です。ゆったりとした客室にはワイドベッドを完備し、快適性と機能性を両立した空間で上質なくつろぎをお約束します。ビジネスに最適なシングルルームから、ビジネスやプライベートステイにおすすめのダブルルーム、ファミリーやグループでも安心のスーペリアツインルームまで、様々なシーンに合わせたお部屋をご用意しております。また、朝食は栄養バランスの取れたブッフェスタイルをご用意しておりますので、忙しい朝でもサッと食事が可能です。,35.678347,139.782648,00080628,https://travel.yahoo.co.jp/00080628/
相鉄フレッサイン東京神田,東京の中心、多彩な路線から4分、ビジネスもレジャーも手軽に,東京のオフィス街の中心に位置し、JR山手線、京浜東北線、中央線「神田駅」から徒歩4分、東京メトロ銀座線「神田駅」から徒歩5分と、アクセス抜群の立地にございます。ビジネスやレジャーに最適で、大手町エリア、日本橋エリア、秋葉原エリアへのアクセスも便利です。全館・全室で無料のWi-Fiをご利用いただけ、長期滞在や急な宿泊にも対応するコインランドリーも完備しております。アメニティは豊富に揃え、お好きなものを自由にお選びいただけます。デザイナー監修のシンプルでスタイリッシュな客室は、160cm幅の広いベッドでゆっくりとお寛ぎいただけます。,35.691654,139.774057,00081473,https://travel.yahoo.co.jp/00081473/
MIMARU SUITES 東京日本橋,高級都市ホテル、自分好みのアイテムで過ごす,「MIMARU SUITES 東京日本橋」は、都市の喧騒から離れた高級シティホテルで、全室に2ベッドルーム以上の広々とした客室を採用しております。2階のロビーフロアは、ゲストの気分や仲間と楽しみながら選べる「ライフスタイル雑貨（食器・本・アート）」を提供し、お部屋でご利用いただけます。このホテルでは、旅先にふさわしい、自分の好きなものや心地良いものに囲まれた大人の上質なホテルステイをお楽しみいただけます。,35.687976,139.782237,00031112,https://travel.yahoo.co.jp/00031112/
京急EXイン東銀座,駅近で東京アクセス抜群、寝心地最高のマットレス完備,東銀座駅・築地駅から徒歩4分という好立地に位置し、東京駅・新橋・日本橋へのアクセスも容易な宿です。全室にシモンズ社と京急EXインが共同開発したマットレスと加湿機能付き空気清浄機を完備し、快適な睡眠を提供します。ビジネスラインを追求しながらも、美和ロック社製のカードキーシステムや24時間体制のフロントサービスなど、ワンランク上のサービスと設備を備えています。また、40インチ液晶テレビを設置した客室は、デスク付きやティーテーブル付きなど、コンパクトなスペースを活かしたレイアウトで、ビジネスにも対応します。,35.667271,139.770414,00081179,https://travel.yahoo.co.jp/00081179/
the b 新橋,銀座汐留虎ノ門徒歩圏、お台場へのアクセス良好、個性的な空間で旅を彩る,銀座・汐留・虎ノ門が徒歩圏内でアクセス抜群なザ・ビー新橋は、東京の観光やビジネスに最適な拠点です。最寄り駅の内幸町まで徒歩4分、虎ノ門ヒルズまで徒歩5分、新橋まで徒歩6分と便利な立地。独自のスタイルを持つ個性的な空間で快適な滞在が楽しめます。全109室のシンプル・モダンな客室は清潔感あふれ、シャワータワーや上質なフランスベッド、ナノイー発生器を完備しています。また、ロビーではフリーコーヒーステーションを利用できます。朝食では焼きたてパンやバランスのとれた洋食プレートをお楽しみいただけますが、2022年10月1日から朝食提供は中止となります。,35.667581,139.753579,00081396,https://travel.yahoo.co.jp/00081396/
ベイサイドホテル アジュール竹芝・浜松町,東京ベイを望むリゾート感、都心からのアクセスも抜群,東京ベイを望むアジュール竹芝は、東京・品川からのアクセスが便利で、リゾートホテルの雰囲気を楽しむことができます。新幹線の東京駅・品川駅からJR浜松町駅へ、羽田空港へもモノレール浜松町駅から約30分弱で到着します。また、徒歩1分のゆりかもめ竹芝駅からお台場・国際展示場へもスムーズに移動できます。客室は最上階にあり、東京ベイの美しい夜景や東京タワーのライトアップを楽しむことができます。朝食はバターをたっぷり練りこんだクロワッサンやふわふわのオムレツなど、栄養バランスを考えた献立が提供されます。また、最上階のイタリアレストランでは、レインボーブリッジからお台場までのパノラマビューを眺めながら、季節の食材を使用したイタリアンコースを楽しむことができます。,35.655488,139.763552,00081283,https://travel.yahoo.co.jp/00081283/
東急ステイ新橋,新橋駅3分、洗濯乾燥機付きで長期滞在も快適,新橋駅から徒歩3分という便利な立地にある宿は、広々とした客室で心身ともにリラックスできる空間を提供します。ほとんどの客室には洗濯乾燥機や電子レンジが設置されており、連泊や中長期滞在も快適に過ごせます。また、ミニキッチンや調理器具、食器も用意されている部屋もあります。ビジネスシーンやレジャー、観光拠点としても利用でき、24時間対応のフロントと優れたセキュリティで安心して滞在できます。無料Wi-Fiや加湿空気清浄機、ズボンプレッサーなどの設備も充実しています。朝食は、和洋折衷のビュッフェを提供しており、アクティブな1日の始まりを演出します。,35.663507,139.757004,00081485,https://travel.yahoo.co.jp/00081485/
アパホテル〈新橋 虎ノ門〉,複数路線アクセスと観光地近くで最適な拠点,新橋から徒歩約6分、都営三田線内幸町から約3分のアクセス抜群なホテル。東京タワーや日比谷公園、虎ノ門ヒルズが徒歩圏内にあり、観光やビジネスの拠点に最適です。多くのJR・地下鉄路線が利用可能で、移動にも便利な立地をお楽しみください。,35.666862,139.753225,00080939,https://travel.yahoo.co.jp/00080939/
THE KNOT TOKYO Shinjuku,東京満喫の立地、オリジナル体験を,JR新宿駅から1.5kmという利便性の高い立地に位置する宿は、渋谷や中目黒、皇居、中野へのアクセスも抜群です。全室にエアコン、薄型TV、冷蔵庫、スリッパ、オリジナルガウンを完備し、高速無料Wi-Fiも館内全域でご利用いただけます。ビジネスにも最適な環境を提供します。また、Bakery、Tapas Lounge、Grill、Banquetの4業態を持つMORETHAN Restaurantで、美味しい料理を楽しむことも可能です。あなただけのオリジナルな体験を、この宿でぜひお楽しみください。,35.688276,139.688308,00082141,https://travel.yahoo.co.jp/00082141/
新宿プリンスホテル,シックなレンガ色、都心へのアクセス抜群、機能的なホテル,西武新宿線駅に直結、地上25階建ての都心のホテル。客室はすべて10階以上、プリンスホテルならではのシンプルで機能的な空間をご用意しております。低層階にはファッションモールが入り、地下1階にはご宿泊者様専用のゲストラウンジを完備。各新宿駅へは徒歩5分以内、都内のあらゆる方面へ好アクセスを誇る抜群のロケーションです。,35.694477,139.700134,00001295,https://travel.yahoo.co.jp/00001295/
